,open,close,high,low,volume,money
2015-11-10,3806.67,3833.24,3876.49,3798.82,28651960300.0,380910629424.0
2015-11-11,3828.45,3833.65,3843.11,3781.41,23223429600.0,307008336072.0
2015-11-12,3841.74,3795.32,3843.9,3771.27,21753764700.0,302446791881.0
2015-11-13,3756.2,3746.24,3793.71,3727.59,20348989100.0,281961129453.0
2015-11-16,3682.74,3764.13,3764.41,3680.07,16169090100.0,227483711616.0
2015-11-17,3790.43,3758.39,3852.77,3750.16,24853307100.0,365138598381.0
2015-11-18,3760.46,3715.58,3771.85,3706.31,18568949500.0,254137953313.0
2015-11-19,3725.62,3774.97,3775.23,3714.68,15463198900.0,204557606993.0
2015-11-20,3778.88,3774.38,3793.55,3757.03,18695168900.0,242295089781.0
2015-11-23,3774.44,3753.34,3802.85,3743.41,17562681200.0,234640979610.0
2015-11-24,3745.76,3753.89,3754.17,3702.74,14338328300.0,192495095083.0
2015-11-25,3747.76,3781.61,3781.86,3735.72,15194494100.0,215125047954.0
2015-11-26,3795.24,3759.43,3805.84,3756.82,17352546800.0,239797205559.0
2015-11-27,3739.1,3556.99,3742.74,3534.39,20893935800.0,269758168475.0
2015-11-30,3554.89,3566.41,3587.97,3455.07,17320116300.0,220098287801.0
2015-12-01,3562.32,3591.7,3617.3,3536.12,13653655400.0,176598805608.0
2015-12-02,3587.76,3721.95,3725.85,3573.4,21353886500.0,260938692616.0
2015-12-03,3709.55,3749.3,3758.45,3693.14,19776212600.0,236698987440.0
2015-12-04,3719.73,3677.59,3726.12,3667.29,15119952200.0,196455597757.0
2015-12-07,3681.58,3687.61,3699.34,3658.58,11388315000.0,161220059836.0
2015-12-08,3668.84,3623.02,3668.84,3619.45,12578108300.0,163317229186.0
2015-12-09,3613.42,3635.94,3655.16,3611.49,11332542200.0,154319992100.0
2015-12-10,3634.37,3623.08,3678.32,3615.99,12021562500.0,168622188283.0
2015-12-11,3605.37,3608.06,3630.74,3578.15,11032248100.0,145248640244.0
2015-12-14,3573.88,3711.32,3712.5,3571.0,15176911900.0,203291513291.0
2015-12-15,3707.73,3694.39,3717.36,3679.23,12648171000.0,186795461663.0
2015-12-16,3703.95,3685.44,3713.09,3677.45,11134272300.0,160118243242.0
2015-12-17,3712.78,3755.89,3768.84,3709.85,17792407500.0,242543823434.0
2015-12-18,3754.96,3767.91,3810.22,3750.93,17346598000.0,232281458171.0
2015-12-21,3762.1,3865.97,3877.82,3759.99,21743527500.0,289905289214.0
2015-12-22,3872.1,3876.73,3880.47,3841.59,18030366100.0,243797366698.0
2015-12-23,3877.87,3866.38,3926.69,3862.97,20701714700.0,294710770246.0
2015-12-24,3858.14,3829.4,3867.68,3787.08,14718139700.0,203683543579.0
2015-12-25,3832.09,3838.2,3848.03,3813.2,11962401300.0,163314511431.0
2015-12-28,3847.53,3727.63,3853.39,3727.63,15398844000.0,210026020459.0
2015-12-29,3723.05,3761.88,3762.05,3710.48,10188555500.0,140405054699.0
2015-12-30,3762.91,3765.18,3765.66,3726.28,10562995500.0,155744099319.0
2015-12-31,3760.9,3731.01,3772.62,3727.32,10187355600.0,145043696235.0
2016-01-04,3725.86,3469.07,3726.24,3468.95,11537067400.0,145968206095.0
2016-01-05,3382.18,3478.78,3518.22,3377.28,16211698400.0,196017085879.0
2016-01-06,3482.41,3539.81,3543.74,3468.47,14596614400.0,160947198402.0
2016-01-07,3481.15,3294.38,3481.15,3284.74,4410264100.0,47130795628.0
2016-01-08,3371.87,3361.56,3418.85,3237.93,18595945100.0,203498868289.0
